CrO2-bc3078f1c8a2, Most_stable: CrO2-2--1_0_0_-1-Iz-0_0, d: 4.702099868097158, d_ave: 4.702099868097158
CrS2-0e911cee0e75, Most_stable: CrS2-2--1_0_0_-1-Iz-0_0, d: 5.6983093203358886, d_ave: 5.777309320335888
CrSe2-5bd10ae077ca, Most_stable: CrSe2-2-1_0_0_1--0.67_-0.33, d: 6.618968327444252, d_ave: 6.655523054229153
CrTe2-51de2c375337, Most_stable: CrTe2-2-1_0_0_1--0.67_-0.33, d: 7.253761904664475, d_ave: 7.273511904664475
HfTe2-59c0e014651d, Most_stable: HfTe2-2--1_0_0_-1-Iz-0_0, d: 6.855881028941495, d_ave: 6.993696449116144
MoO2-152bd69757aa, Most_stable: MoO2-2-1_0_0_1--0.67_-0.33, d: 4.990156906263821, d_ave: 4.995833990343757
MoS2-b3b4685fb6e1, Most_stable: MoS2-2-1_0_0_1--0.67_-0.33, d: 6.165407100391217, d_ave: 6.197319145424298
MoSe2-f61b14d398c7, Most_stable: MoSe2-2--1_0_0_-1-Iz--0.33_-0.67, d: 6.5163168615943405, d_ave: 6.536123295824111
MoTe2-38a53176109a, Most_stable: MoTe2-2--1_0_0_-1-Iz--0.33_-0.67, d: 7.002680625, d_ave: 7.018173281249999
TiTe2-9ebfacbfe4b5, Most_stable: Te2Ti-2--1_0_0_-1-Iz-0_0, d: 6.715795244047669, d_ave: 6.881934529605594
WO2-94cfbb3f9284, Most_stable: O2W-2-1_0_0_1--0.67_-0.33, d: 5.020935801753326, d_ave: 5.02378698619498
WS2-64090c9845f8, Most_stable: S2W-2--1_0_0_-1-Iz--0.33_-0.67, d: 6.241619795909439, d_ave: 6.264025610561422
WSe2-1cfbe6183886, Most_stable: Se2W-2--1_0_0_-1-Iz--0.33_-0.67, d: 6.507581385745775, d_ave: 6.54732234077323
GeO2-630e9718ed1f, Most_stable: GeO2-2-1_0_0_1--0.33_-0.67, d: 4.66444797480279, d_ave: 4.7031892370519826
HfS2-d48ddb34811e, Most_stable: HfS2-2-1_0_0_1-0_0, d: 5.905421429925772, d_ave: 5.905421429925772
HfSe2-7a708c5759cf, Most_stable: HfSe2-2-1_0_0_1-0_0, d: 6.2382874202660705, d_ave: 6.3151846457855285
NiS2-69fe1e6c2336, Most_stable: NiS2-2-1_-1_1_0-0_0, d: 4.530219271106709, d_ave: 4.530219271106709
NiSe2-14660dbf6673, Most_stable: NiSe2-2--1_0_0_-1-Iz-0.33_-0.33, d: 5.52501930885002, d_ave: 5.52501930885002
PbO2-e2a7fd3e05fc, Most_stable: O2Pb-2-1_0_0_1--0.33_-0.67, d: 4.373639620034811, d_ave: 4.373639620034811
PdS2-02762a09ebbf, Most_stable: PdS2-2-1_0_0_1-0_0, d: 4.5894169714732005, d_ave: 4.5894169714732005
PdSe2-f7acacb69123, Most_stable: PdSe2-2-1_0_0_1-0_0, d: 4.790990094278854, d_ave: 4.790990094278854
PtSe2-d000f0288397, Most_stable: PtSe2-2-1_0_0_1-0_0, d: 4.917165268491989, d_ave: 4.917165268491989
PtTe2-747f8e0087c0, Most_stable: PtTe2-2-1_0_0_1-0_0, d: 5.151872890006182, d_ave: 5.151872890006182
SnO2-9c24e87a3dde, Most_stable: O2Sn-2-1_0_0_1--0.33_-0.67, d: 4.476929648087337, d_ave: 4.520052438042644
SnSe2-2c6d4c024ca0, Most_stable: Se2Sn-2-1_0_0_1-0_0, d: 6.185862039148471, d_ave: 6.247076298910879
ZrS2-8913f4e54692, Most_stable: S2Zr-2-1_0_0_1-0_0, d: 5.873353120221038, d_ave: 5.94086292620059
ZrSe2-7dc2a0a57b42, Most_stable: Se2Zr-2-1_0_0_1-0_0, d: 6.209345068
